id,percent_change_24h,percent_change_7d
destiny,14.65,-14.08
gulfcoin,14.79,-12.65
eltcoin,14.8,7.41
cachecoin,14.95,-22.96
snakeeyes,15.09,33.89
aion,15.33,-7.58
ethgas,15.36,88.21
money,15.48,18.29
bitbtc,15.64,26.06
fluttercoin,15.73,40.59
coss,15.79,58.6
artbyte,15.81,27.87
hubii-network,15.87,-4.47
bestchain,15.93,6.11
royalcoin,15.97,36.16
hodlcoin,15.97,-16.17
populous,16.05,48.46
aces,16.3,59.12
blockpool,16.44,27.1
orbitcoin,16.52,20.16
boscoin,16.57,26.84
mineum,16.77,81.33
vechain,17.02,124.1
metalcoin,17.05,32.01
zetamicron,17.12,134.88
bitcoin-unlimited,17.22,-16.62
achain,17.23,31.61
b3coin,17.28,-62.41
ea-coin,17.36,-5.61
orlycoin,17.41,28.17
pandacoin-pnd,17.46,35.71
peacecoin,17.61,145.43
parallelcoin,17.76,1.39
piecoin,17.82,140.52
ixcoin,18.0,38.71
veritaseum,18.03,37.52
counterparty,18.03,16.33
vip-tokens,18.06,18.13
rhfcoin,18.12,24.39
todaycoin,18.12,6.76
chaincoin,18.21,54.8
mutual-coin,18.25,113.18
poet,18.52,19.36
gpu-coin,18.99,17.66
capricoin,19.1,41.12
cryptocarbon,19.25,26.72
fujicoin,19.42,27.15
unobtanium,19.43,25.77
insanecoin-insn,19.62,29.04
pascal-lite,19.79,3.15
vivo,19.96,13.58
scorecoin,20.04,4.51
goldunioncoin,20.29,-42.37
zcoin,20.4,11.6
amsterdamcoin,20.4,-14.3
ethereum-gold,20.42,19.64
wa-space,20.58,18.07
playercoin,20.68,53.25
protean,20.87,14.0
social,21.04,-2.43
revain,21.13,39.03
virta-unique-coin,21.15,28.32
marxcoin,21.17,23.6
raiblocks,21.19,108.56
aquariuscoin,21.31,12.82
paycoin2,21.36,-17.77
hellogold,21.52,139.55
phore,21.53,-11.82
phoenixcoin,21.55,-5.96
coinonat,21.56,-11.19
ammo-rewards,21.62,56.65
kobocoin,21.68,20.2
zephyr,21.75,8.39
mindcoin,21.87,50.31
digitalcoin,21.99,26.54
bytecent,22.03,38.81
dollar-online,22.19,4.16
sixeleven,22.4,21.82
rchain,22.41,85.89
digitalprice,23.0,82.22
dalecoin,23.03,55.14
honey,23.13,28.1
donationcoin,23.68,-7.14
project-x,23.99,-1.08
fimkrypto,23.99,235.98
yacoin,24.03,30.52
fuzzballs,24.16,34.21
spankchain,24.29,46.91
kittehcoin,24.48,47.68
infchain,24.76,74.15
decentraland,25.1,42.4
bios-crypto,25.17,23.73
santiment,25.24,163.78
spacecoin,25.45,43.39
adelphoi,25.5,10.48
monero,25.65,41.23
authorship,25.66,67.72
morningstar-payments,25.77,45.9
alqo,25.79,135.8
bowscoin,26.15,38.97
eryllium,26.33,64.73
namecoin,26.47,16.5
cypher,26.54,63.69
fapcoin,26.66,4.95
dubaicoin-dbix,27.13,21.6
808coin,27.29,-51.14
viuly,27.46,152.28
happy-creator-coin,27.53,76.16
useless-ethereum-token,27.6,32.2
minex,28.21,-70.39
zurcoin,28.3,110.57
international-diamond,28.65,6.66
hodl-bucks,28.72,-10.76
sand-coin,28.85,19.03
ulatech,29.06,-64.39
atomic-coin,29.2,52.4
embers,29.28,16.97
ur,29.28,39.82
pizzacoin,29.33,26.5
luckchain,29.43,0.88
whitecoin,29.44,133.56
alis,29.54,30.71
eos,29.56,69.66
intensecoin,29.7,43.56
colossuscoinxt,29.76,3.14
first-bitcoin-capital,30.22,58.65
monster-byte,30.46,77.93
9coin,30.47,13.28
globaltoken,30.61,24.53
prismchain,30.84,56.59
independent-money-system,31.18,61.48
chainlink,31.29,79.22
bitmark,31.31,46.36
heat-ledger,31.76,25.95
letitride,31.86,28.57
ultimate-secure-cash,32.05,27.68
boostcoin,32.51,12.89
nav-coin,32.6,60.99
bigup,32.68,44.01
flaxscript,32.83,11.4
remicoin,33.23,-28.35
mao-zedong,33.66,43.19
riecoin,33.74,14.99
steem-dollars,34.38,104.44
eidoo,34.64,30.64
geysercoin,35.25,218.9
ethereum-movie-venture,35.31,96.79
footy-cash,35.87,-5.48
hyper-tv,36.07,-59.64
bytom,36.11,40.65
pepe-cash,36.18,89.62
link-platform,36.29,94.74
mustangcoin,36.44,42.37
songcoin,36.66,-11.77
ebitcoin-cash,37.27,-22.99
vsync-vsx,37.42,62.91
deeponion,37.6,121.01
masternodecoin,37.63,51.23
pura,37.75,42.46
goldblocks,37.94,35.79
gimli,38.1,-37.92
interzone,38.49,13.45
kushcoin,38.71,43.84
vslice,38.72,26.3
bitvolt,38.77,6.66
rawcoin2,38.78,65.45
ibtc,39.24,-27.21
version,39.4,46.36
stellar,39.48,51.09
photon,39.97,132.59
ibank,40.33,56.32
condensate,40.6,-5.24
natcoin,40.78,-45.61
real-estate-tokens,41.09,-17.05
ride-my-car,41.7,134.88
guccionecoin,41.75,53.08
opal,41.8,63.87
kayicoin,41.9,3.69
mybit-token,42.57,-22.9
postoken,42.63,228.87
high-gain,43.61,11.22
skeincoin,43.69,278.8
rupaya-old,44.66,-8.77
geertcoin,45.28,37.48
creatio,46.26,36.84
solaris,46.36,49.46
veros,46.83,395.53
gobyte,48.01,100.04
lepen,49.48,17.9
bitcoal,49.92,50.0
nvo,50.25,-1.36
coindash,51.38,81.47
inflationcoin,52.12,165.15
darklisk,52.62,81.69
president-trump,52.72,25.27
blakecoin,53.03,113.87
caliphcoin,53.88,67.27
aventus,53.94,52.22
securecoin,54.27,94.84
biblepay,54.48,127.95
noblecoin,54.49,59.01
pakcoin,54.73,62.49
hexx,54.84,69.85
bitcoin2x,56.64,-41.11
virtualcoin,57.45,31.95
ethereumcash,58.26,346.87
earthcoin,58.32,55.28
xaucoin,59.06,47.9
streamr-datacoin,59.24,38.07
india-coin,59.41,76.23
digital-credits,59.46,76.23
cryptoescudo,59.46,17.49
tekcoin,60.21,71.95
darsek,61.11,21.95
newyorkcoin,62.05,252.88
halcyon,62.33,80.45
huncoin,64.24,65.86
coin,64.25,36.09
mavro,64.51,140.97
francs,65.39,24.26
argus,66.38,66.58
einsteinium,66.46,229.46
altcommunity-coin,69.11,16.84
sync,70.1,12.79
wi-coin,71.59,76.47
bitcoin-planet,72.7,122.5
rupaya,73.36,5.39
monacocoin,73.64,66.87
shilling,75.13,86.73
joincoin,75.41,9.8
safe-exchange-coin,78.58,185.76
jinn,78.76,60.13
xtrabytes,78.92,118.41
dimecoin,79.08,56.64
anoncoin,81.13,122.7
gapcoin,82.06,41.72
iota,83.35,255.82
tradecoin-v2,83.63,37.96
ronpaulcoin,85.09,70.31
global-currency-reserve,88.88,197.22
printerium,89.62,81.39
ebit,90.93,525.73
cryptcoin,91.43,113.58
fireflycoin,91.56,83.74
motocoin,92.82,126.54
sakuracoin,98.13,50.94
aerium,98.25,-52.0
neuro,99.26,150.34
monacoin,109.98,251.44
javascript-token,110.41,278.07
impact,112.55,-14.65
fuelcoin,112.59,143.75
save-and-gain,112.59,13.79
thecreed,112.62,58.47
futurexe,114.71,-62.62
yoyow,119.59,547.12
ganjacoin,123.68,126.67
idice,124.37,67.72
bowhead,128.07,72.88
fazzcoin,142.19,76.33
iconic,160.02,127.64
newbium,163.02,206.07
bolivarcoin,199.26,273.54
10mtoken,200.74,-17.2
advanced-internet-blocks,203.95,244.08
britcoin,223.31,272.18
coexistcoin,230.87,142.78
coimatic-2,244.26,132.24
comet,252.07,560.46
asiacoin,267.2,521.47
eaglecoin,272.5,114.73
beatcoin,295.49,132.79
bitzeny,416.04,3360.71
cashcoin,457.86,374.3
fedoracoin,833.01,92.1
