id,percent_change_24h,percent_change_7d
ecocoin,-10.16,-66.91
infinitecoin,-10.06,-42.44
komodo,-10.03,2.02
internet-of-things,-10.0,-34.55
metaverse,-9.86,-31.57
mincoin,-9.85,-37.37
qtum,-9.85,-16.12
hawla-today,-9.77,-1.95
steem,-9.74,19.1
flixxo,-9.58,-32.76
atbcoin,-9.55,-9.28
marscoin,-9.53,20.32
sigmacoin,-9.5,55.0
quantstamp,-9.44,-8.44
chronobank,-9.41,-23.32
cannabiscoin,-9.38,50.12
guppy,-9.37,98.81
hshare,-9.33,-18.18
groestlcoin,-9.25,77.18
kyber-network,-9.24,14.04
mcap,-9.24,145.42
vertcoin,-9.19,62.37
espers,-9.17,-29.09
bitradio,-9.16,25.58
etheroll,-9.13,-22.32
ripio-credit-network,-9.11,5.16
dynamiccoin,-9.11,77.66
fundyourselfnow,-9.09,-25.54
royalties,-9.06,-99.59
change,-9.01,-3.72
aricoin,-8.92,6.12
russiacoin,-8.89,-32.28
starta,-8.88,-1.6
nushares,-8.85,97.24
syndicate,-8.83,23.29
jobscoin,-8.82,-1.43
gas,-8.81,-6.76
request-network,-8.79,34.36
blocknet,-8.76,0.64
divi,-8.67,31.5
bitcoin-gold,-8.65,-11.24
indorse-token,-8.61,31.08
msd,-8.61,-15.8
spreadcoin,-8.61,6.17
gnosis-gno,-8.57,13.35
mysterium,-8.53,3.49
luxcoin,-8.52,403.73
zencash,-8.47,0.42
dutch-coin,-8.47,-18.22
tierion,-8.46,-2.94
rubies,-8.4,1.2
etherdoge,-8.38,-27.59
adx-net,-8.37,-1.49
erc20,-8.34,545.73
neverdie,-8.33,-27.82
trackr,-8.3,1.63
oyster-pearl,-8.3,87.66
gxshares,-8.29,-19.0
compucoin,-8.29,-4.8
decision-token,-8.24,5.13
tracto,-8.2,-34.29
tenx,-8.19,-2.45
antibitcoin,-8.19,11.57
rabbitcoin,-8.16,-17.81
pivx,-8.1,21.02
paypie,-8.08,-6.97
omisego,-8.06,3.93
doubloon,-7.94,-5.14
geocoin,-7.91,8.04
innova,-7.87,6.79
augur,-7.71,13.02
rialto,-7.62,-9.62
nevacoin,-7.61,-2.48
funfair,-7.51,4.43
bancor,-7.5,-0.61
hicoin,-7.49,100.72
belacoin,-7.41,17.68
salt,-7.35,40.82
neo,-7.28,0.2
soilcoin,-7.24,24.74
corgicoin,-7.21,61.05
maecenas,-7.19,-8.45
blazecoin,-7.13,6.33
bodhi,-7.1,-12.6
reddcoin,-7.06,7.51
aeternity,-7.03,0.52
vericoin,-7.02,4.63
suretly,-7.0,-8.85
elementrem,-6.98,46.77
cabbage,-6.98,-1.35
xaurum,-6.93,14.84
c-bit,-6.92,20.85
nxt,-6.89,97.57
musiconomi,-6.88,-41.52
chesscoin,-6.85,46.16
power-ledger,-6.72,11.15
melon,-6.7,-7.44
nolimitcoin,-6.69,-31.0
stratis,-6.64,16.87
stex,-6.61,97.98
expanse,-6.57,10.02
ardor,-6.55,52.61
argentum,-6.53,-0.54
zero,-6.52,79.43
paragon,-6.44,-0.57
moeda-loyalty-points,-6.41,-9.88
supernet-unity,-6.39,-17.98
airtoken,-6.36,-18.36
bitcoindark,-6.33,0.89
purevidz,-6.32,8.3
giga-watt-token,-6.29,-6.7
netbit,-6.25,76.0
gamecredits,-6.22,-0.34
karbowanec,-6.22,-17.02
procurrency,-6.12,-3.38
golem-network-tokens,-6.03,3.53
ethereum-blue,-6.0,296.82
nexus,-5.97,30.48
rubycoin,-5.94,14.37
dibcoin,-5.9,9.66
amber,-5.85,-13.74
netcoin,-5.84,-4.29
vibe,-5.82,-4.06
cardano,-5.8,-8.25
ambercoin,-5.72,-38.95
coinonatx,-5.68,-12.64
benjirolls,-5.67,47.18
universe,-5.6,-13.45
bitsend,-5.54,18.01
