id,percent_change_24h,percent_change_7d
bitdice,3.23,41.2
monero,25.65,41.23
octocoin,0.09,41.43
nuls,-3.07,41.46
californium,9.48,41.7
gapcoin,82.06,41.72
mustangcoin,36.44,42.37
decentraland,25.1,42.4
pluton,9.35,42.41
pura,37.75,42.46
mao-zedong,33.66,43.19
spacecoin,25.45,43.39
intensecoin,29.7,43.56
dinastycoin,7.38,43.57
kushcoin,38.71,43.84
bigup,32.68,44.01
swaptoken,-23.46,45.59
potcoin,7.19,45.81
morningstar-payments,25.77,45.9
bittokens,14.22,46.12
chesscoin,-6.85,46.16
version,39.4,46.36
bitmark,31.31,46.36
elementrem,-6.98,46.77
spankchain,24.29,46.91
benjirolls,-5.67,47.18
ink,12.7,47.46
hyperstake,9.6,47.52
dix-asset,-41.05,47.57
kittehcoin,24.48,47.68
xaucoin,59.06,47.9
paypex,2.06,48.17
populous,16.05,48.46
sibcoin,3.54,48.59
solaris,46.36,49.46
flik,-4.19,49.72
lltoken,-13.07,49.84
bitcoal,49.92,50.0
cannabiscoin,-9.38,50.12
bankcoin,-68.56,50.14
mindcoin,21.87,50.31
unbreakablecoin,-18.66,50.73
sakuracoin,98.13,50.94
stellar,39.48,51.09
glasscoin,-33.31,51.12
masternodecoin,37.63,51.23
aventus,53.94,52.22
atomic-coin,29.2,52.4
ardor,-6.55,52.61
guccionecoin,41.75,53.08
walton,-11.92,53.09
cannation,0.41,53.1
bitcoinfast,7.97,53.2
playercoin,20.68,53.25
levoplus,-10.37,53.92
chaincoin,18.21,54.8
trumpcoin,5.81,54.83
sigmacoin,-9.5,55.0
investfeed,7.97,55.0
sphere,12.34,55.01
dalecoin,23.03,55.14
earthcoin,58.32,55.28
edgeless,-15.06,55.75
ibank,40.33,56.32
prismchain,30.84,56.59
dimecoin,79.08,56.64
ammo-rewards,21.62,56.65
corethum,-31.31,57.8
thecreed,112.62,58.47
hyper,9.33,58.53
bitcoin-scrypt,5.22,58.6
coss,15.79,58.6
first-bitcoin-capital,30.22,58.65
nyancoin,-3.28,58.91
noblecoin,54.49,59.01
aces,16.3,59.12
xp,14.56,59.41
wagerr,-4.15,59.74
jinn,78.76,60.13
janus,-37.62,60.17
elcoin-el,6.43,60.35
burstocean,3.07,60.47
nav-coin,32.6,60.99
encryptotel-eth,-10.72,61.03
corgicoin,-7.21,61.05
supercoin,1.05,61.46
independent-money-system,31.18,61.48
cryptoping,-23.51,62.19
vertcoin,-9.19,62.37
pakcoin,54.73,62.49
marijuanacoin,-24.26,62.58
cryptonex,11.47,62.62
vsync-vsx,37.42,62.91
kurrent,-2.94,63.42
fujinto,0.24,63.5
cypher,26.54,63.69
gold-reward-token,-4.31,63.86
opal,41.8,63.87
eryllium,26.33,64.73
btctalkcoin,2.06,65.41
rawcoin2,38.78,65.45
cobinhood,8.37,65.46
huncoin,64.24,65.86
yellow-token,-45.39,65.95
argus,66.38,66.58
monacocoin,73.64,66.87
caliphcoin,53.88,67.27
idice,124.37,67.72
authorship,25.66,67.72
dopecoin,5.1,67.97
voisecom,1.82,68.42
waves-community-token,0.54,68.6
eos,29.56,69.66
bitcedi,2.28,69.71
hexx,54.84,69.85
ronpaulcoin,85.09,70.31
tagcoin,8.15,71.07
monaco,-13.84,71.89
tekcoin,60.21,71.95
agoras-tokens,-14.63,72.81
bowhead,128.07,72.88
campuscoin,-22.6,73.77
infchain,24.76,74.15
joulecoin,-32.6,75.71
sativacoin,6.36,75.93
netbit,-6.25,76.0
happy-creator-coin,27.53,76.16
ufo-coin,6.31,76.23
india-coin,59.41,76.23
digital-credits,59.46,76.23
fazzcoin,142.19,76.33
wi-coin,71.59,76.47
groestlcoin,-9.25,77.18
dynamiccoin,-9.11,77.66
monster-byte,30.46,77.93
chainlink,31.29,79.22
zero,-6.52,79.43
linda,-12.01,79.58
halcyon,62.33,80.45
ethereum-dark,13.39,80.74
mineum,16.77,81.33
printerium,89.62,81.39
coindash,51.38,81.47
darklisk,52.62,81.69
suncontract,-15.39,81.89
digitalprice,23.0,82.22
skycoin,9.85,82.61
xenon,1.39,83.47
fireflycoin,91.56,83.74
ixledger,8.42,84.24
rchain,22.41,85.89
frazcoin,-35.36,86.45
shilling,75.13,86.73
oyster-pearl,-8.3,87.66
ethgas,15.36,88.21
pepe-cash,36.18,89.62
voyacoin,-29.69,90.14
transfercoin,4.35,90.69
fedoracoin,833.01,92.1
russian-mining-coin,0.25,93.92
link-platform,36.29,94.74
securecoin,54.27,94.84
student-coin,6.56,96.17
ethereum-movie-venture,35.31,96.79
dashs,-36.05,96.8
carboncoin,-23.02,96.85
nushares,-8.85,97.24
wavesgo,-10.89,97.38
nxt,-6.89,97.57
stex,-6.61,97.98
teslacoilcoin,6.3,98.71
guppy,-9.37,98.81
gobyte,48.01,100.04
hicoin,-7.49,100.72
bridgecoin,-1.44,100.89
elixir,-24.37,102.67
blocktix,1.47,103.65
steem-dollars,34.38,104.44
encrypgen,-16.32,106.54
ethereum-lite,-14.63,107.75
raiblocks,21.19,108.56
litecoin-ultra,-3.82,109.58
zurcoin,28.3,110.57
mutual-coin,18.25,113.18
cryptcoin,91.43,113.58
boolberry,5.29,113.6
blakecoin,53.03,113.87
eaglecoin,272.5,114.73
bitcoin-21,9.74,117.14
xtrabytes,78.92,118.41
pirl,-11.11,119.0
catcoin,-27.72,119.5
denarius-dnr,2.83,119.96
deeponion,37.6,121.01
yescoin,-10.92,121.24
bitcoin-planet,72.7,122.5
anoncoin,81.13,122.7
vechain,17.02,124.1
motocoin,92.82,126.54
ganjacoin,123.68,126.67
iconic,160.02,127.64
exrnchain,-3.33,127.94
biblepay,54.48,127.95
bluecoin,12.35,128.65
electroneum,-14.71,128.79
voxels,-13.78,129.0
coimatic-2,244.26,132.24
photon,39.97,132.59
beatcoin,295.49,132.79
whitecoin,29.44,133.56
zetamicron,17.12,134.88
ride-my-car,41.7,134.88
alqo,25.79,135.8
coin2-1,8.57,138.02
bitserial,-2.81,138.21
hellogold,21.52,139.55
piecoin,17.82,140.52
mavro,64.51,140.97
coexistcoin,230.87,142.78
fuelcoin,112.59,143.75
mcap,-9.24,145.42
peacecoin,17.61,145.43
colossuscoin-v2,-16.86,149.01
cannacoin,-15.18,150.3
neuro,99.26,150.34
viuly,27.46,152.28
mercury,2.8,162.61
santiment,25.24,163.78
hempcoin,-2.3,165.03
inflationcoin,52.12,165.15
internxt,6.57,166.57
ellaism,-3.77,171.9
iethereum,-19.61,178.78
tao,13.39,179.54
safe-exchange-coin,78.58,185.76
global-currency-reserve,88.88,197.22
trezarcoin,-11.62,197.32
aseancoin,-3.33,200.75
newbium,163.02,206.07
geysercoin,35.25,218.9
postoken,42.63,228.87
utacoin,-21.67,229.09
einsteinium,66.46,229.46
fimkrypto,23.99,235.98
litecred,-51.73,243.9
advanced-internet-blocks,203.95,244.08
peepcoin,6.31,245.56
monacoin,109.98,251.44
newyorkcoin,62.05,252.88
iota,83.35,255.82
britcoin,223.31,272.18
bolivarcoin,199.26,273.54
javascript-token,110.41,278.07
skeincoin,43.69,278.8
force,-15.05,283.37
debitcoin,-19.4,296.17
ethereum-blue,-6.0,296.82
chncoin,0.86,299.8
bitcurrency,-40.9,312.36
kashhcoin,2.47,315.04
ethereumcash,58.26,346.87
bitcoin-silver,13.25,354.85
cashcoin,457.86,374.3
veros,46.83,395.53
luxcoin,-8.52,403.73
litebitcoin,-39.85,474.8
asiacoin,267.2,521.47
ebit,90.93,525.73
petrodollar,-76.55,542.96
erc20,-8.34,545.73
yoyow,119.59,547.12
comet,252.07,560.46
btcmoon,-34.7,582.11
bitcoin-red,-29.87,693.37
bitzeny,416.04,3360.71
