id,percent_change_24h,percent_change_7d
psilocybin,-0.72,-16.79
network-token,-28.49,-16.68
prototanium,5.64,-16.67
bitcoin-unlimited,17.22,-16.62
novacoin,1.04,-16.49
universalroyalcoin,3.01,-16.43
luna-coin,4.7,-16.3
yashcoin,-13.24,-16.23
megacoin,-26.51,-16.2
hodlcoin,15.97,-16.17
qtum,-9.85,-16.12
brat,9.59,-16.02
msd,-8.61,-15.8
deuscoin,-16.04,-15.79
aeron,1.77,-15.64
neutron,-19.59,-15.64
artex-coin,10.09,-15.4
kibicoin,-57.51,-15.32
smileycoin,-3.11,-15.27
facecoin,-3.33,-15.15
mintcoin,13.56,-15.1
billionaire-token,2.96,-15.05
milocoin,-14.8,-14.98
ripple,-3.7,-14.79
copico,0.43,-14.79
win-coin,-3.9,-14.71
impact,112.55,-14.65
amsterdamcoin,20.4,-14.3
skincoin,10.65,-14.24
grid,-3.27,-14.2
betacoin,8.08,-14.13
ormeus-coin,-0.76,-14.08
destiny,14.65,-14.08
triaconta,-13.38,-14.04
iocoin,-3.33,-13.95
red-pulse,-16.28,-13.82
amber,-5.85,-13.74
modum,-2.01,-13.65
fincoin,-3.94,-13.64
centra,-10.28,-13.47
universe,-5.6,-13.45
target-coin,-17.83,-13.45
women,-14.03,-13.38
akuya-coin,-2.49,-13.3
sumokoin,-0.02,-13.25
trollcoin,-17.55,-12.9
terranova,-2.22,-12.83
bitquark,10.74,-12.82
quantum,-3.54,-12.74
gulfcoin,14.79,-12.65
coinonatx,-5.68,-12.64
bodhi,-7.1,-12.6
everex,-3.43,-12.54
equitrader,4.73,-12.43
lykke,-0.14,-12.14
braincoin,10.7,-12.03
peercoin,-11.85,-12.0
phore,21.53,-11.82
icos,12.33,-11.79
songcoin,36.66,-11.77
hedge,-0.92,-11.72
abncoin,-4.4,-11.69
stronghands,-3.37,-11.54
zsecoin,3.85,-11.44
piplcoin,-17.42,-11.3
bitcoin-gold,-8.65,-11.24
coinonat,21.56,-11.19
alpacoin,-3.42,-11.15
unity-ingot,4.27,-11.0
hodl-bucks,28.72,-10.76
aeon,-10.62,-10.76
kingn-coin,6.32,-10.74
worldcoin,-15.46,-10.57
decred,-10.74,-10.55
arcticcoin,-2.55,-10.51
iquant,5.34,-10.5
arcade-token,2.3,-10.37
cycling-coin,14.49,-10.34
dimoncoin,-3.33,-10.31
funcoin,6.44,-10.29
aragon,-10.66,-10.06
bitcloud,-0.37,-10.02
moeda-loyalty-points,-6.41,-9.88
avoncoin,-20.29,-9.72
yocoin,-30.47,-9.71
intelligent-trading-tech,-0.91,-9.68
magnum,-11.44,-9.66
rialto,-7.62,-9.62
incent,-4.01,-9.42
atbcoin,-9.55,-9.28
bitcoinz,-2.97,-9.1
triangles,6.19,-8.88
suretly,-7.0,-8.85
asch,-3.79,-8.84
agrolifecoin,-20.79,-8.79
creditbit,2.6,-8.78
rupaya-old,44.66,-8.77
feathercoin,-11.53,-8.73
crevacoin,-5.46,-8.59
jewels,-0.55,-8.57
maecenas,-7.19,-8.45
quantstamp,-9.44,-8.44
cardano,-5.8,-8.25
firecoin,4.43,-7.91
tron,5.53,-7.85
ethereum-classic,-3.47,-7.7
octanox,-21.97,-7.69
firstblood,-11.93,-7.66
aion,15.33,-7.58
melon,-6.7,-7.44
trueflip,-16.51,-7.35
ethereum,-3.93,-7.33
corion,2.14,-7.31
donationcoin,23.68,-7.14
paypie,-8.08,-6.97
fantomcoin,12.54,-6.92
gas,-8.81,-6.76
giga-watt-token,-6.29,-6.7
blazercoin,0.57,-6.45
triggers,-5.06,-6.28
sharkcoin,-2.86,-6.13
asiadigicoin,-4.73,-5.96
phoenixcoin,21.55,-5.96
dao-casino,0.33,-5.84
ea-coin,17.36,-5.61
